Age,Income,CreditScore,LoanAmount,EmploymentYears,EmploymentType,Education,Married,HomeOwnership,LoanApproved
38.0,8948.0,782.0,39669.0,18.0,Self-employed,High School,No,Own,1
27.0,4220.0,625.0,22389.0,22.0,,Bachelor,No,Rent,1
36.0,2625.0,775.0,27626.0,4.0,Unemployed,Master,No,Mortgage,1
63.0,4063.0,628.0,21965.0,21.0,Employed,Master,Yes,Mortgage,1
38.0,4136.0,784.0,13467.0,7.0,Unemployed,PhD,Yes,Mortgage,1
27.0,9326.0,773.0,28261.0,8.0,Self-employed,Bachelor,Yes,Mortgage,1
21.0,4902.0,590.0,5667.0,18.0,Employed,PhD,Yes,Mortgage,1
26.0,9062.0,643.0,39898.0,20.0,Unemployed,Master,Yes,Own,1
23.0,8244.0,,9260.0,23.0,Self-employed,Bachelor,Yes,Mortgage,1
54.0,2704.0,564.0,2773.0,17.0,Employed,Master,No,Own,1
62.0,7117.0,839.0,18069.0,17.0,Self-employed,PhD,Yes,Own,1
38.0,4167.0,799.0,24504.0,22.0,Employed,Master,No,Rent,1
37.0,5204.0,757.0,20793.0,18.0,Employed,Bachelor,Yes,Rent,1
34.0,3704.0,598.0,30416.0,7.0,Unemployed,Master,Yes,Mortgage,1
31.0,8165.0,679.0,,8.0,Self-employed,Master,Yes,Rent,1
40.0,7435.0,762.0,38895.0,0.0,Self-employed,Master,Yes,Own,1
22.0,9136.0,763.0,31686.0,19.0,Unemployed,High School,No,Own,1
39.0,3939.0,832.0,20854.0,19.0,Employed,Master,No,Mortgage,1
55.0,2346.0,729.0,26501.0,9.0,Employed,Master,Yes,Rent,1
53.0,6486.0,602.0,17861.0,23.0,Employed,PhD,,Mortgage,1
27.0,6225.0,549.0,20504.0,24.0,Employed,Master,No,Own,1
24.0,9766.0,812.0,7033.0,6.0,Employed,High School,No,Rent,1
18.0,7996.0,603.0,35179.0,10.0,Unemployed,High School,Yes,Own,1
31.0,3750.0,758.0,38070.0,4.0,Employed,Bachelor,Yes,Rent,1
40.0,2400.0,612.0,27642.0,22.0,Self-employed,Master,No,Own,1
38.0,8327.0,598.0,1061.0,18.0,Employed,PhD,No,Mortgage,1
26.0,8993.0,,27649.0,23.0,Unemployed,PhD,No,Rent,1
25.0,3999.0,821.0,32137.0,6.0,Unemployed,Bachelor,Yes,Mortgage,1
34.0,7828.0,602.0,6468.0,5.0,Employed,,Yes,Mortgage,1
48.0,2292.0,717.0,15582.0,12.0,Employed,PhD,Yes,Own,1
25.0,1583.0,661.0,31112.0,5.0,Self-employed,PhD,Yes,Mortgage,1
36.0,5097.0,699.0,37518.0,13.0,Employed,Bachelor,No,Mortgage,1
64.0,6825.0,615.0,23565.0,22.0,Self-employed,Bachelor,No,Mortgage,1
47.0,7414.0,568.0,20180.0,5.0,Employed,High School,No,Rent,1
36.0,3037.0,731.0,22753.0,16.0,Self-employed,High School,Yes,Mortgage,1
51.0,2049.0,806.0,9778.0,16.0,Employed,High School,Yes,Mortgage,1
48.0,7769.0,836.0,33366.0,2.0,,High School,Yes,Own,1
56.0,1567.0,723.0,35963.0,7.0,Unemployed,Master,Yes,Rent,1
45.0,2013.0,836.0,34858.0,24.0,Employed,High School,No,Mortgage,1
43.0,7086.0,780.0,1402.0,2.0,Self-employed,Bachelor,Yes,Own,1
45.0,5918.0,727.0,24143.0,0.0,,Master,No,Mortgage,1
32.0,7899.0,716.0,22394.0,2.0,Employed,Master,No,Mortgage,1
50.0,7438.0,658.0,24494.0,,Self-employed,High School,Yes,Mortgage,1
54.0,6459.0,588.0,17198.0,11.0,Unemployed,High School,Yes,Mortgage,1
40.0,6401.0,468.0,10098.0,13.0,Self-employed,High School,Yes,Mortgage,1
20.0,8810.0,746.0,26652.0,4.0,Employed,Bachelor,No,Mortgage,1
18.0,2338.0,641.0,9360.0,16.0,Unemployed,Bachelor,No,Mortgage,1
56.0,6076.0,758.0,4293.0,24.0,Self-employed,PhD,No,Mortgage,1
32.0,2549.0,775.0,35700.0,20.0,Unemployed,Master,Yes,Mortgage,1
31.0,6543.0,603.0,19383.0,16.0,Self-employed,PhD,Yes,Own,1
31.0,2355.0,785.0,32786.0,18.0,Unemployed,High School,No,Mortgage,1
26.0,4736.0,685.0,31159.0,24.0,Unemployed,Bachelor,No,Mortgage,1
25.0,2196.0,813.0,38783.0,12.0,Self-employed,PhD,Yes,Own,1
53.0,2926.0,680.0,38057.0,13.0,Unemployed,Master,Yes,Own,1
62.0,5345.0,690.0,6504.0,7.0,Self-employed,PhD,Yes,Rent,1
23.0,5898.0,787.0,21607.0,6.0,Self-employed,Master,No,Own,1
57.0,1827.0,748.0,6496.0,2.0,Employed,High School,Yes,Own,1
41.0,4561.0,621.0,13094.0,3.0,Self-employed,PhD,No,Mortgage,1
47.0,3048.0,789.0,16774.0,19.0,Employed,High School,Yes,Rent,1
21.0,3890.0,511.0,14553.0,22.0,Self-employed,PhD,Yes,Rent,1
21.0,1549.0,836.0,35426.0,8.0,Self-employed,PhD,No,Mortgage,1
35.0,6072.0,731.0,15348.0,16.0,Unemployed,Master,No,Mortgage,1
32.0,4412.0,804.0,24504.0,9.0,Employed,Master,Yes,Own,1
53.0,9768.0,701.0,20544.0,19.0,Employed,Bachelor,Yes,Mortgage,1
45.0,2535.0,677.0,28189.0,16.0,Unemployed,High School,No,Rent,1
51.0,5824.0,702.0,31089.0,5.0,Self-employed,Master,Yes,Own,1
23.0,9390.0,548.0,2341.0,9.0,Unemployed,PhD,No,Own,1
18.0,5784.0,734.0,38412.0,16.0,Unemployed,High School,Yes,Mortgage,1
33.0,9222.0,775.0,26973.0,9.0,Self-employed,High School,No,Rent,1
40.0,7224.0,849.0,19513.0,22.0,Self-employed,PhD,Yes,Own,1
38.0,7066.0,658.0,13044.0,10.0,Self-employed,PhD,No,Rent,1
47.0,9778.0,800.0,32830.0,3.0,Employed,Master,Yes,Rent,1
56.0,5992.0,521.0,14520.0,11.0,Unemployed,PhD,Yes,Rent,1
52.0,7623.0,666.0,21265.0,23.0,Employed,,Yes,Rent,1
43.0,4341.0,747.0,27514.0,3.0,Employed,PhD,Yes,Own,1
38.0,6188.0,745.0,28401.0,8.0,Self-employed,PhD,Yes,Mortgage,1
56.0,9093.0,581.0,9158.0,23.0,Unemployed,PhD,No,Own,1
55.0,5928.0,844.0,38414.0,20.0,Self-employed,High School,Yes,Mortgage,1
43.0,5983.0,827.0,38732.0,14.0,Unemployed,Bachelor,No,Mortgage,1
44.0,8659.0,777.0,13667.0,21.0,Unemployed,Bachelor,Yes,Own,1
24.0,5364.0,474.0,18045.0,9.0,Unemployed,Master,No,Rent,1
63.0,5581.0,678.0,28385.0,0.0,Employed,Master,No,Rent,1
21.0,,810.0,8464.0,21.0,Employed,PhD,Yes,Rent,1
42.0,1601.0,694.0,16764.0,13.0,Unemployed,PhD,Yes,Own,1
43.0,2654.0,641.0,26731.0,15.0,Unemployed,Bachelor,Yes,Rent,1
29.0,5403.0,744.0,36799.0,18.0,Self-employed,Bachelor,Yes,Rent,1
56.0,8336.0,749.0,23663.0,11.0,Self-employed,PhD,Yes,Rent,1
59.0,9039.0,759.0,38225.0,16.0,Unemployed,Bachelor,No,Own,1
30.0,5032.0,680.0,17409.0,6.0,Unemployed,Bachelor,No,Own,1
26.0,3206.0,806.0,23182.0,22.0,Employed,Master,No,Rent,1
29.0,2801.0,795.0,4874.0,7.0,Employed,Master,Yes,Mortgage,1
63.0,4608.0,736.0,17121.0,22.0,Unemployed,Master,No,Own,1
60.0,3626.0,832.0,20943.0,23.0,Unemployed,PhD,Yes,Own,1
24.0,6082.0,782.0,4062.0,8.0,Self-employed,PhD,Yes,Own,1
33.0,2210.0,683.0,29029.0,19.0,Unemployed,Bachelor,Yes,Own,1
28.0,8746.0,557.0,3143.0,14.0,Unemployed,High School,Yes,Rent,1
27.0,8860.0,481.0,4772.0,8.0,Unemployed,Master,No,Own,1
40.0,2603.0,715.0,16455.0,9.0,Employed,High School,Yes,Rent,1
29.0,6072.0,839.0,30847.0,11.0,Self-employed,Master,No,Own,1
55.0,2816.0,602.0,24616.0,12.0,Self-employed,Bachelor,Yes,Own,1
50.0,7395.0,722.0,10745.0,1.0,Self-employed,High School,No,Own,1
64.0,1911.0,830.0,39393.0,12.0,Unemployed,High School,Yes,Mortgage,1
51.0,5378.0,813.0,23126.0,12.0,Self-employed,High School,No,Rent,1
49.0,8707.0,821.0,26983.0,5.0,Unemployed,PhD,No,Rent,1
55.0,8331.0,635.0,23552.0,5.0,Unemployed,Bachelor,Yes,Mortgage,1
52.0,6143.0,694.0,36457.0,16.0,Unemployed,Bachelor,No,Mortgage,1
60.0,4790.0,630.0,7262.0,12.0,Unemployed,Master,No,Mortgage,1
63.0,9026.0,672.0,33225.0,21.0,Self-employed,Master,Yes,Rent,1
42.0,3568.0,770.0,24503.0,0.0,Employed,PhD,No,Mortgage,1
39.0,9273.0,646.0,30993.0,4.0,Unemployed,PhD,No,Mortgage,1
49.0,6090.0,769.0,17679.0,17.0,Unemployed,High School,Yes,Own,1
20.0,9936.0,707.0,18835.0,10.0,Employed,Master,No,Mortgage,1
42.0,7821.0,814.0,2542.0,17.0,Unemployed,Master,Yes,Own,1
25.0,9425.0,435.0,7744.0,16.0,Self-employed,PhD,Yes,Own,1
38.0,,759.0,30249.0,13.0,Unemployed,PhD,No,Own,1
63.0,8442.0,767.0,26929.0,,Unemployed,PhD,No,Rent,1
40.0,9440.0,593.0,6523.0,10.0,Unemployed,PhD,Yes,Mortgage,1
50.0,7253.0,651.0,12469.0,3.0,Self-employed,PhD,Yes,Own,1
26.0,1718.0,830.0,28327.0,12.0,Unemployed,Bachelor,,Own,1
43.0,7171.0,560.0,18757.0,8.0,Employed,High School,Yes,Rent,1
45.0,8934.0,814.0,2741.0,12.0,Unemployed,Bachelor,Yes,Rent,1
39.0,7137.0,622.0,37549.0,2.0,Unemployed,Master,No,Rent,1
24.0,7959.0,760.0,29136.0,23.0,Employed,PhD,Yes,Rent,1
46.0,3637.0,833.0,20508.0,,Unemployed,High School,Yes,Mortgage,1
50.0,4467.0,513.0,12763.0,16.0,Self-employed,Master,Yes,Mortgage,1
36.0,7852.0,637.0,31605.0,4.0,Self-employed,Bachelor,No,,1
51.0,8540.0,792.0,18067.0,20.0,Unemployed,PhD,No,Own,1
61.0,9689.0,690.0,28425.0,15.0,Employed,High School,Yes,Mortgage,1
32.0,9252.0,721.0,33221.0,17.0,Employed,Bachelor,No,Mortgage,1
64.0,5094.0,821.0,4083.0,8.0,Self-employed,Master,No,Rent,1
24.0,,640.0,38662.0,13.0,Unemployed,Master,Yes,Own,1
52.0,7393.0,744.0,12814.0,14.0,Self-employed,Bachelor,No,Own,1
25.0,1638.0,778.0,24421.0,23.0,Self-employed,PhD,Yes,Mortgage,1
51.0,6020.0,845.0,35725.0,24.0,Unemployed,Bachelor,Yes,Rent,1
30.0,9606.0,842.0,33405.0,9.0,Self-employed,Master,Yes,Own,1
48.0,4790.0,747.0,38514.0,4.0,Self-employed,PhD,Yes,Rent,1
25.0,5591.0,679.0,4028.0,16.0,Employed,Master,No,Mortgage,1
27.0,2633.0,719.0,7239.0,23.0,Employed,Bachelor,Yes,Rent,1
28.0,8407.0,809.0,4660.0,21.0,Unemployed,High School,No,Rent,1
56.0,,811.0,29385.0,2.0,Unemployed,Bachelor,No,Own,1
28.0,7664.0,642.0,16172.0,15.0,Employed,Bachelor,No,Rent,1
36.0,9924.0,694.0,5667.0,9.0,Unemployed,High School,No,Own,1
41.0,4478.0,573.0,29895.0,19.0,Self-employed,Master,Yes,Mortgage,1
27.0,1721.0,611.0,23465.0,20.0,Unemployed,High School,Yes,Rent,1
32.0,9975.0,680.0,38850.0,21.0,Unemployed,High School,No,Rent,1
27.0,3883.0,741.0,36368.0,1.0,Self-employed,High School,Yes,Mortgage,1
62.0,2227.0,735.0,30567.0,24.0,Self-employed,High School,Yes,Own,1
47.0,8430.0,560.0,37424.0,2.0,Unemployed,PhD,Yes,Own,1
42.0,4211.0,643.0,5983.0,23.0,,Bachelor,No,Rent,1
57.0,6366.0,799.0,32789.0,16.0,Employed,Bachelor,Yes,Rent,1
53.0,9716.0,793.0,25245.0,20.0,Unemployed,High School,No,Rent,1
27.0,1569.0,619.0,26955.0,23.0,,PhD,Yes,Own,1
20.0,9732.0,733.0,24891.0,12.0,Employed,Bachelor,Yes,Own,1
28.0,4636.0,722.0,11646.0,24.0,Self-employed,Bachelor,No,Own,1
20.0,4963.0,802.0,19126.0,4.0,Self-employed,PhD,,Own,1
20.0,3040.0,813.0,39618.0,17.0,Self-employed,High School,Yes,Rent,1
